,job_title,organization,min_salary,max_salary,location,job_description,job_type
18,Staff Machine Learning Engineer - Acquisition Paid Search,StubHub,"$300,000","$350,000","Aliso Viejo, California, United States","StubHub is on a mission to redefine the live event experience on a global scale. Whether someone is looking to attend their first event or their hundredth, we’re here to delight them all the way from the moment they start looking for a ticket until they step through the gate. The same goes for our sellers. From fans selling a single ticket to the promoters of a worldwide stadium tour, we want StubHub to be the safest, most convenient way to offer a ticket to the millions of fans who browse our platform around the world. About the Opportunity We’re seeking a Staff Machine Learning Engineer to lead the science and systems that power our paid search marketing. You’ll design the causal measurement stack, ship models that influence bidding and budgeting in real time, and partner with marketing, data, and platform teams to drive profitable, incremental growth. StubHub is the largest secondary ticket market in the world, generating massive amounts of consumer data that are leveraged to tackle many unique and interesting predictive and inference problems across user acquisition, product recommendations, pricing optimization, ticket fulfillment mitigation, and business forecasting. The core challenge for our marketing efforts is acquire as many new customers as possible, efficiently, and at the right time in their customer journey, making it a complex and highly impactful domain. Location: Hybrid (3 days in office/2 days remote) – New York, NY or Los Angeles, CA What You'll Do: Own causal measurement for paid search : Stand up uplift/incrementality frameworks (e.g., doubly robust learners, causal forests, DML, IVs, synthetic control, DiD, BSTS) to quantify lift beyond correlation. Ship production models : Build and serve models that inform bids, budgets, and query-level targeting using signals like incremental CPA, tROAS, LTV, and heterogenous treatment effects. Design experiments & guardrails : Architect geo/cell tests and online experiments; handle power analysis, pre-trend checks, SUTVA threats, SRM detection, and sequential monitoring. Integrate with ad platforms : Translate science into APIs/feeds for Google Ads, Microsoft Advertising, and SA360; validate against auction dynamics and Quality Score mechanics. Data & MLOps leadership : Partner with platform teams to instrument events, build reliable feature stores and ETL (batch/stream), and establish monitoring for drift, bias, leakage, and attribution sanity. Mentor & influence : Provide technical leadership across science, engineering, and marketing; set standards for methodology, code quality, documentation, and reproducibility. Tell the story : Communicate trade-offs and impact to execs and non-technical partners; make the complex understandable and actionable. What You've Done: 8+ years in applied ML/causal inference (or equivalent) with direct paid search/auction experience. Expert in causal methods (uplift modeling, DML, IV, DiD/synth control, BSTS/Bayesian time series) and experimental design . Strong software engineering: Python (pandas, numpy, scikit-learn, LightGBM/XGBoost), SQL; experience with Spark and one of AWS/GCP/Azure. Hands-on with A/B frameworks , power analysis, and measurement diagnostics (SRM, balance, interference). Proven track record integrating with Google Ads/Microsoft Ads/SA360 and moving the needle on tROAS, CPA, LTV. Clear communicator who can mentor senior ICs and partner with product/marketing. Nice to Have: Recsys, bandits/RL for bidding/budget pacing, MMM and privacy-aware attribution Scala/Java or microservices experience; Airflow/DBT; Kafka/PubSub; Feast or similar feature stores. Domain knowledge of auction theory, query taxonomy, brand vs. non-brand dynamics, and budget rebalancing Staff-Level Capabilities Technical leadership through influence rather than formal management authority Strategic thinking with the ability to balance long-term technical vision with immediate organizational needs Cross-functional collaboration skills to work effectively with Data Science, Product, and Engineering teams Communication skills to inject technical context into high-level organizational discussions Problem-solving approach for ambiguous, high-impact technical challenges Mentorship and sponsorship experience growing junior and mid-level engineers What We Offer: Accelerated Growth Environment: Immerse yourself in an environment designed for swift skill and knowledge enhancement, where you have the autonomy to lead experiments and tests on a massive scale. Top Tier Compensation Package: Enjoy a rewarding compensation package that includes enticing stock incentives, aligning with our commitment to recognizing and valuing your contributions. Flexible Time Off: Embrace a healthy work-life balance with unlimited Flex Time Off, providing you the flexibility to manage your schedule and recharge as needed. Comprehensive Benefits Package: Prioritize your well-being with a comprehensive benefits package, featuring 401k, and premium Health, Vision, and Dental Insurance options. The anticipated gross base pay range is below for this role. Actual compensation will vary depending on factors such as a candidate’s qualifications, skills, experience, and competencies. Base annual salary is one component of StubHub’s total compensation and competitive benefits package, which includes equity, 401(k), paid time off, paid parental leave, and comprehensive health benefits. Salary Range $300,000 - $350,000 USD About Us StubHub is the world’s leading marketplace to buy and sell tickets to any live event, anywhere. Through StubHub in North America and viagogo, our international platform, we service customers in 195 countries in 33 languages and 49 available currencies. With more than 300 million tickets available annually on our platform to events around the world -- from sports to music, comedy to dance, festivals to theater -- StubHub offers the safest, most convenient way to buy or sell tickets to the most memorable live experiences. Come join our team for a front-row seat to the action. For California Residents: California Job Applicant Privacy Notice found here We are an equal opportunity employer and value diversity on our team. We do not discriminate on the basis of race, color, religion, sex, national origin, gender, sexual orientation, age, disability, veteran status, or any other legally protected status.",Full Time
19,Staff Machine Learning Engineer - Acquisition Paid Search,StubHub,"$300,000","$350,000","Los Angeles, California, United States","StubHub is on a mission to redefine the live event experience on a global scale. Whether someone is looking to attend their first event or their hundredth, we’re here to delight them all the way from the moment they start looking for a ticket until they step through the gate. The same goes for our sellers. From fans selling a single ticket to the promoters of a worldwide stadium tour, we want StubHub to be the safest, most convenient way to offer a ticket to the millions of fans who browse our platform around the world. About the Opportunity We’re seeking a Staff Machine Learning Engineer to lead the science and systems that power our paid search marketing. You’ll design the causal measurement stack, ship models that influence bidding and budgeting in real time, and partner with marketing, data, and platform teams to drive profitable, incremental growth. StubHub is the largest secondary ticket market in the world, generating massive amounts of consumer data that are leveraged to tackle many unique and interesting predictive and inference problems across user acquisition, product recommendations, pricing optimization, ticket fulfillment mitigation, and business forecasting. The core challenge for our marketing efforts is acquire as many new customers as possible, efficiently, and at the right time in their customer journey, making it a complex and highly impactful domain. Location: Hybrid (3 days in office/2 days remote) – New York, NY or Santa Monica, CA or Aliso Viejo, CA What You'll Do: Own causal measurement for paid search : Stand up uplift/incrementality frameworks (e.g., doubly robust learners, causal forests, DML, IVs, synthetic control, DiD, BSTS) to quantify lift beyond correlation. Ship production models : Build and serve models that inform bids, budgets, and query-level targeting using signals like incremental CPA, tROAS, LTV, and heterogenous treatment effects. Design experiments & guardrails : Architect geo/cell tests and online experiments; handle power analysis, pre-trend checks, SUTVA threats, SRM detection, and sequential monitoring. Integrate with ad platforms : Translate science into APIs/feeds for Google Ads, Microsoft Advertising, and SA360; validate against auction dynamics and Quality Score mechanics. Data & MLOps leadership : Partner with platform teams to instrument events, build reliable feature stores and ETL (batch/stream), and establish monitoring for drift, bias, leakage, and attribution sanity. Mentor & influence : Provide technical leadership across science, engineering, and marketing; set standards for methodology, code quality, documentation, and reproducibility. Tell the story : Communicate trade-offs and impact to execs and non-technical partners; make the complex understandable and actionable. What You've Done: 8+ years in applied ML/causal inference (or equivalent) with direct paid search/auction experience. Expert in causal methods (uplift modeling, DML, IV, DiD/synth control, BSTS/Bayesian time series) and experimental design . Strong software engineering: Python (pandas, numpy, scikit-learn, LightGBM/XGBoost), SQL; experience with Spark and one of AWS/GCP/Azure. Hands-on with A/B frameworks , power analysis, and measurement diagnostics (SRM, balance, interference). Proven track record integrating with Google Ads/Microsoft Ads/SA360 and moving the needle on tROAS, CPA, LTV. Clear communicator who can mentor senior ICs and partner with product/marketing. Nice to Have: Recsys, bandits/RL for bidding/budget pacing, MMM and privacy-aware attribution Scala/Java or microservices experience; Airflow/DBT; Kafka/PubSub; Feast or similar feature stores. Domain knowledge of auction theory, query taxonomy, brand vs. non-brand dynamics, and budget rebalancing Staff-Level Capabilities Technical leadership through influence rather than formal management authority Strategic thinking with the ability to balance long-term technical vision with immediate organizational needs Cross-functional collaboration skills to work effectively with Data Science, Product, and Engineering teams Communication skills to inject technical context into high-level organizational discussions Problem-solving approach for ambiguous, high-impact technical challenges Mentorship and sponsorship experience growing junior and mid-level engineers What We Offer: Accelerated Growth Environment: Immerse yourself in an environment designed for swift skill and knowledge enhancement, where you have the autonomy to lead experiments and tests on a massive scale. Top Tier Compensation Package: Enjoy a rewarding compensation package that includes enticing stock incentives, aligning with our commitment to recognizing and valuing your contributions. Flexible Time Off: Embrace a healthy work-life balance with unlimited Flex Time Off, providing you the flexibility to manage your schedule and recharge as needed. Comprehensive Benefits Package: Prioritize your well-being with a comprehensive benefits package, featuring 401k, and premium Health, Vision, and Dental Insurance options. The anticipated gross base pay range is below for this role. Actual compensation will vary depending on factors such as a candidate’s qualifications, skills, experience, and competencies. Base annual salary is one component of StubHub’s total compensation and competitive benefits package, which includes equity, 401(k), paid time off, paid parental leave, and comprehensive health benefits. Salary Range $300,000 - $350,000 USD About Us StubHub is the world’s leading marketplace to buy and sell tickets to any live event, anywhere. Through StubHub in North America and viagogo, our international platform, we service customers in 195 countries in 33 languages and 49 available currencies. With more than 300 million tickets available annually on our platform to events around the world -- from sports to music, comedy to dance, festivals to theater -- StubHub offers the safest, most convenient way to buy or sell tickets to the most memorable live experiences. Come join our team for a front-row seat to the action. For California Residents: California Job Applicant Privacy Notice found here We are an equal opportunity employer and value diversity on our team. We do not discriminate on the basis of race, color, religion, sex, national origin, gender, sexual orientation, age, disability, veteran status, or any other legally protected status.",Full Time
20,Staff Software Engineer,Nightfall,"$170,000","$215,000","San Francisco, California, United States","Nightfall AI ( www.nightfall.ai ) is the unified platform that prevents data leaks and enables secure collaboration by protecting sensitive data and controlling how it's shared. For decades, legacy data leak prevention (DLP) solutions have failed to adequately protect sensitive information. Traditional DLP is outdated, intrusive, and complex - it wasn't designed for today's modern enterprise where users continuously share data across interconnected SaaS applications, endpoints, and now generative AI. Nightfall AI is the first AI-native DLP solution. We leverage AI to achieve twice the accuracy with a fraction of the false positives that overwhelm security teams. Nightfall does this without disrupting modern work patterns. Our AI-native platform spans sensitive data protection across SaaS, email, data exfiltration prevention on SaaS, endpoints, and data encryption. Nightfall's Developer Platform provides an open, flexible environment for developers to integrate our data classification and protection capabilities anywhere, including establishing trust boundaries for AI model building and consumption. We are looking for an exceptional engineer to join our growing team at Nightfall. As a staff engineer, you’ll enable us to deliver our platform reliably, securely, and at massive scale. You’ll help architect low latency, real-time microservices that process & detect sensitive data at scale and will have opportunities for technical leadership. This is a hybrid role based out of our San Francisco office. The base salary range for this role is 180-220k. Responsibilities Oversee multiple cross-functional projects from conception to completion, ensuring alignment with business goals and customer needs. Design and implement new features ensuring security, user experience, and scalability. Advise on new technologies and guide architectural decisions to enhance system performance and reliability Mentor junior team members and enforce best practices in a fast-paced environment. Writing and maintaining documentation about internal and public services Work effectively with other teams to support engineering programs and ensure seamless communication. Participate in the team’s on-call rotation to ensure that product quality and performance SLAs are consistently met. Enhance processes and systems to continuously improve operations of the product. Requirements Minimum 7+ years of hands-on technical development experience Experience programming in Go, C++, Java or related language Experience with developing complex software systems scaling to substantial data volumes or millions of users with production quality deployment, monitoring and reliability. Experience designing and building systems in a microservices-based architecture Ability to decompose complex business problems and lead a team in solving them A foundational understanding of multi-threaded programming, concurrency primitives, and data structures BS/MS in Computer Science or a related technical field Bonus Points Experience working in high growth venture-backed startups Blog, teach, mentor, or help others learn outside of your day to day responsibilities Familiarity with AWS and managed infrastructure Familiarity with Docker/Kubernetes Experience with ML model deployments and inferencing is a plus About Nightfall: Nightfall is a cybersecurity startup dedicated to helping organizations secure and manage their sensitive data. As a leading enterprise technology company, our product affects the personal data that people entrust businesses to store & process with care every day. Critical data in modern organizations is often sprayed across a broad set of cloud data silos, and it’s a herculean task for security & compliance teams to monitor, manage, and protect this highly sensitive data. Via machine learning, our product makes it easy for organizations to discover, classify, and protect this sensitive data across their cloud footprint - such as their corporate SaaS, data infrastructure, and even their own apps. In doing so, we prevent data leakage, provide unprecedented data visibility & protection across the cloud, and enable compliance. We’re a technology startup founded in San Francisco, well-funded by leading institutional investors like Bain and Venrock, and a cadre of security & IT leaders from Okta, Salesforce, Atlassian, Splunk, FireEye, and more. Learn more on our website www.nightfall.ai or by reaching out via email at careers@nightfall.ai.",Full Time
21,AI Engineer,Turing,"$170,000","$215,000","Palo Alto, California, United States","About Turing Based in San Francisco, California, Turing is the world’s leading research accelerator for frontier AI labs and a trusted partner for global enterprises looking to deploy advanced AI systems. Turing accelerates frontier research with high-quality data, specialized talent, and training pipelines that advance thinking, reasoning, coding, multimodality, and STEM. For enterprises, Turing builds proprietary intelligence systems that integrate AI into mission-critical workflows, unlock transformative outcomes, and drive lasting competitive advantage. Recognized by Forbes, The Information, and Fast Company among the world’s top innovators, Turing’s leadership team includes AI technologists from Meta, Google, Microsoft, Apple, Amazon, McKinsey, Bain, Stanford, Caltech, and MIT. Learn more at www.turing.com Location: SF or Palo Alto Team: R&D – Agentic Systems & Tooling About the Role We are seeking experienced backend/AI engineers to join our technical staff. As part of the R&D team, you’ll work across multiple high-impact projects that advance the frontier of AI training, evaluation, and enterprise applications. This is a chance to join a fast-moving team building production-grade systems that combine cutting-edge AI with real-world usability. What You’ll Work On You will not be hired for a single project — instead, you’ll contribute across a portfolio of exciting initiatives, including: Developing agents that generate synthetic data or review human-generated data. Building real-world reinforcement learning environments for model training and evaluation. Delivering end-to-end agentic solutions for enterprise customers. Developing internal tooling that enables humans and AI agents to collaborate at scale. Responsibilities Design and build end-to-end systems spanning both front-end and back-end components. Develop scalable infrastructure to support agentic workflows, data pipelines, and evaluation. Rapidly prototype, test, and ship features in collaboration with cross-functional teams. Own projects from design through deployment with a strong focus on reliability and usability. What We’re Looking For Experience: 4+ years as a backend engineer, with 2+ as an early engineer at a prominent AI product startup or equivalent environment. AI Engineering: Proficiency in modern GenAI and agentic technologies (langchain, RAG, etc). Portfolio: Demonstrated ability to build and ship real web applications. Must be able to showcase projects (e.g., personal site, GitHub, or screenshare). Bonus Points Experience with agentic systems, RL environments, or AI/ML infrastructure. Contributions to open-source projects or personal AI/ML tooling. Strong product sense and ability to translate abstract ideas into user-facing solutions. Salary Range: 170k - 220k Values: We are client first : We put our clients at the center of everything we do, because their success is the ultimate measure of our value. We work at Start-Up Speed: We move fast, stay agile and favor action because momentum is the foundation of perfection We are Al forward: We help our clients build the future of Al and implement it in our own roles and workflow to amplify productivity. Advantages of joining Turing: Amazing work culture (Super collaborative & supportive work environment; 5 days a week) Awesome colleagues (Surround yourself with top talent from Meta, Google, LinkedIn etc. as well as people with deep startup experience) Competitive compensation Flexible working hours Don’t meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. Turing is proud to be an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, disability, protected veteran status, or any other legally protected characteristics. At Turing we are dedicated to building a diverse, inclusive and authentic workplace and celebrate authenticity, so if you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles. For applicants from the European Union, please review Turing's GDPR notice here .",Full Time
22,AI-First Automation Engineer,Instawork,$120,$150,"San Francisco, California, United States","Instawork’s vision is to create economic opportunities for local businesses and skilled hourly workers in communities around the world. With an AI-first approach, we’re supercharging the leading online labor marketplace and looking for exceptional talent to help us build the future of hourly work. Backed by world-class investors like Benchmark, Spark Capital, Craft Ventures, Greylock, Y Combinator, and more, we want you to help us continue to scale quickly and make an even greater impact. We are seeking an innovative AI-expert QA automation Engineer to join our dynamic and growing QA team. Our goal is to create economic opportunities for businesses and local professionals globally. We believe AI will be a key factor to accelerate our product releases and reduce product development lifecycle. Who You Are: 1+ years of experience in AI model development and proficient in testing, evaluating and setting model quality standards 2+ years of experience in QA automation. Bonus for Mobile (iOS/Android) experience using Appium and Selenium or similar frameworks. BS or MS in Computer Science or related field Programming experience in Python + Javascript or similar language Thorough knowledge of automation testing frameworks, tools and release processes Knowledge of Relational Database such as MySQL is preferred Self-motivated, especially in learning new software tools and best practices in software quality assurance Startup mentality: self-starter, multi-tasker, proactive and flexible Good communication and interpersonal skills You straddle a fine line between QA, software and DevOps engineering What You'll Do: Develop customized AI models for QA data and conduct prompt engineering analysis. Implement and evolve QA processes to get effective test signals and scale testing efforts across multiple products. Build advanced automation architecture and integrate AI tools, thereby reducing manual intensive repetitive tasks. Transform our automation by integrating cutting-edge AI tools and methodologies, creating smarter, faster, and more resilient frameworks that elevate our efficiency and coverage standards. Help solve cross-platform testing challenges and contribute impactful ideas to improve quality. Build a self-optimizing QA system that scales with the growth of our products. Partner with engineering and infrastructure teams to leverage automation for scalable solutions to prevent regressions and ensure reliability of products. For CA Based Applicants: The base salary for this position is between $120K to $150K This position is eligible for equity in the form of stock options This position is eligible for Instawork benefits, including: Variety of medical, dental, and vision plans with coverage beginning on the date of hire Flexible paid time off At least 8 paid company holidays annually Phone stipend Commuter stipend Supplemental pay on qualified leaves Employee health savings accounts (HSA) contribution Flexible spending plans 401K plan Perkspot - discount program through Lumity A variety of factors are considered when determining someone’s compensation including a candidate’s professional background, experience, and location. Final offer amounts may vary from the amounts listed above. #LI-Onsite Our Values Empathy, Trust & Candor We put ourselves in the shoes of our colleagues and customers and don’t shy away from uncomfortable conversations, instead building trust through honest and direct feedback. Bias for Action We practice high-velocity decision-making, clear-eyed that we often operate with incomplete information. Growing quickly means it’s OK to be wrong, so long as we learn from our mistakes and course correct! Always Be Learning We’re a curious bunch, and with AI transforming our workplace we encourage everyone to learn from each other, compounding our knowledge and experience to help us change an entire industry. Act Like an Owner We work long, hard, and smart, building products that delight our users and drive growth. Your ability to impact Instawork is limited only by your courage and conviction, not your job description. About Instawork Founded in 2015, Instawork is the nation’s leading online labor marketplace for food services, hospitality, light industry, and logistics, connecting more than 7M skilled workers with local restaurants, hotels, warehouses, stadiums, and more. Our AI-powered platform serves thousands of businesses across more than 50 major markets in the United States and Canada. We're not just helping fill shifts, we're supporting local economies—and we're just getting started! Instawork has been featured by CBS News, The Wall Street Journal, The Washington Post, and the Associated Press. Forbes included us on their Next Billion Dollar Startups list; RetailTech Breakthrough named us Workforce Hiring Solution of the Year for 2025; and Inc. 5000 recognized us as one of the country's top 10% fastest-growing companies two years in a row. But what matters most is our impact. We're solving real problems for real people, and we’re doing it at scale. Join our team to help us build something that matters! We’re looking for superstars who want to help us shape the future of work. With hubs in San Francisco, Bangalore, and Chicago, city offices in New York, Phoenix, and Singapore, we're back to working together in-person five days a week because we believe the best ideas happen when great people collaborate face-to-face. We also value diverse perspectives and encourage applications from candidates of all backgrounds. Ready to make an impact? Learn more at www.instawork.com/about . Personnel Privacy Policy",Full Time
23,AI Research and Development Engineer,Faraday Future,$130,$170,"Gardena, California, United States","The Company: Faraday Future (FF) is a California-based mobility company, leveraging the latest technologies and world’s best talent to realize exciting new possibilities in mobility. We’re producing user-centric, technology-first vehicles to establish new paradigms in human-vehicle interaction. We’re not just seeking to change how our cars work – we’re seeking to change the way we drive. At FF, we’re creating something new, something connected, and something with a true global impact. Your Role: FF is seeking exceptional AI Research and Development Engineer to join our foundation models team focused on self-driving technology. In this role, you will collaborate with the brightest minds in the industry to develop state-of-the-art neural networks for autonomous driving systems. Your work will contribute to the development of production ADAS/AD features for a world-class vehicle platform. Responsibilities Develop and implement AI algorithms, models, and data pipelines for end-to-end autonomous driving tasks. Key responsibilities: Design, train, and deploy large deep learning models that leverage vast amounts of labeled and unlabeled data from a fleet of vehicles. Develop novel state-of-the-art neural networks and push the boundaries of AI research and engineering for autonomous driving. Work on cutting-edge AI technologies, including large multimodal models, multi-task learning, and generative models. Optimize model efficiency for large-scale training and inference. Collaborate with cross-functional teams to integrate foundation models into autonomous driving systems. Basic Qualifications: Master's or Ph.D. in Computer Science, Electrical Engineering, or a related field. At least 8 years of experience in a similar role. Strong programming skills in Python and experience with deep learning frameworks such as PyTorch. Expertise in machine learning, deep learning, and computer vision. Experience with transformer architecture and model optimization techniques. Proven track record in developing and deploying large-scale machine learning models. Preferred Qualifications: Publications at top AI conferences (e.g., CVPR, NeurIPS, ICML) Experience in the autonomous driving industry Familiarity with distributed training systems and high-performance computing Annual Salary Range: ($130K - $170K DOE), plus benefits and incentive plans Perks + Benefits Healthcare + dental + vision benefits (Free for you/discounted for family) 401(k) options Casual dress code + relaxed work environment Culturally diverse, progressive atmosphere Faraday Future is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",Full Time
24,Backend Engineer,Lightning AI,"$120,000","$250,000","San Francisco, California, United States","Who We Are Lightning AI is the company reimagining the way AI is built. After creating and releasing PyTorch Lightning in 2019, Lightning AI was launched to reshape the development of artificial intelligence products for commercial and academic use. We are on a mission to simplify AI development, making it accessible to everyone—from solo researchers to large enterprises. By removing the complexity of building and deploying AI tools, we empower innovators to focus on solving real-world problems. Our platform is built to scale with the latest AI advancements while staying intuitive and adaptable, so you can bring your ideas to life. We have offices in New York City, San Francisco, and London and are backed by investors such as Coatue, Index Ventures, Bain Capital Ventures, and Firstminute. Our Values Move Fast : We act with speed and precision, breaking down big challenges into achievable steps. Focus : We complete one goal at a time with care, collaborating as a team to deliver features with precision. Balance : Sustained performance comes from rest and recovery. We ensure a healthy work-life balance to keep you at your best. Craftsmanship : Innovation through excellence. Every detail matters, and we take pride in mastering our craft. Minimal : Simplicity drives our innovation. We eliminate complexity through discipline and focus on what truly matters. What we're looking for We are looking for a Backend Engineer to work on developing and scaling the Lightning AI platform from the frontend, CLI, and API, to billing, security, and integrations. We want someone who can take ownership of key features and drive development from end to end while collaborating with a super-smart team of engineers, product managers, and designers. Here, you’ll build from proof of concept to release with a focus on speed, quality, and iteration. This is an opportunity to create groundbreaking technology that will transform the machine-learning ecosystem! You will be joining the Blue Squad and report to our Director of Engineering. This is a hybrid role based in our Bay Area office with in-office requirements of 2 days per week. The salary range for this role is $120,000 - $250,000. What you’ll do Write readable/testable/efficient code in Go (Golang). Master our technology stack to deliver new features, improve system stability, and increase overall performance. Partner with engineering and product leaders on developing the Lightning product while using your experience to set the technical direction for large projects. Evaluate, strengthen, and document technical architecture, tools, and processes. Champion software quality, implement automation, drive continuous delivery, and reduce time to production while proactively reducing technical debt. Mentor and coach engineers on system design, operating in high uncertainty, and problem-solving to create a supportive, inclusive environment where each engineer can grow. What you’ll need Extensive experience writing efficient, maintainable code in Go. Familiarity with best practices in testing, readability, and optimization is essential. Broad knowledge of backend and frontend systems, with experience building and scaling APIs, CLI tools, billing systems, and security protocols. Exposure to frontend frameworks is a plus. Experience with cloud platforms like AWS, GCP, or Azure and designing systems that are reliable, performant, and scalable. Familiarity with containerization (Docker, Kubernetes) is a strong advantage. Proven ability to take ownership of key features and drive end-to-end development Commitment to software quality, test automation, and continuous delivery. Experience proactively managing technical debt and speeding up time to production. Hands-on experience as a backend or product engineer in a SaaS technology company Communication and collaboration with engineers, product managers, and designers Ability to operate in high uncertainty and rapidly changing environments Benefits and Perks We offer competitive base salaries and stock options with a 25% one year cliff and monthly vesting thereafter. For our international employees, we work with Velocity Global to pay you in your local currency and provide equitable benefits across the globe. In the US, we offer: Medical, dental and vision Life and AD&D insurance Flexible paid time off plus 1 week of winter closure Generous paid family leave benefits $500 monthly meal reimbursement, including groceries & food delivery services $500 one time home office stipend $1,000 annual learning & development stipend 100% Citibike membership (NYC only) $45/month gym membership Additional various medical and mental health services At Lightning AI, we are committed to fostering an inclusive and diverse workplace. We believe that diverse teams drive innovation and create better products. We provide equal employment opportunities to all employees and applicants without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other protected characteristic. We are dedicated to building a culture where everyone can thrive and contribute to their fullest potential.",Full Time
25,"DevSecOps Engineer, Public Sector",Lazarus AI,"$110,000","$125,000",United States,"At Lazarus, we build foundation models to help people solve the world's toughest problems. Enterprise and government clients use our APIs to power products and workflows that keep humans focused on what we do best. We're a venture-backed team headquartered downtown Boston, MA and we share a passion for innovation, growth, and a commitment to the responsible use of AI. Job Overview We are hiring a DevSecOps Engineer to meet the needs of our software development lifecycle. This role will use technical skills for the design and implementation of various CI/CD patterns while abiding by industry standards and company policies. You will often take part in design and code reviews and offer direction to ensure project scoping activities match architectural capabilities, security requirements, and specifications. When new applications are introduced or current ones undergo changes, you will collaborate with stakeholders across the business to provide and build solutions. Integral to this role is the development, documentation and maintenance of DevSecOps practices used in day-to-day work. You will have a significant impact on the organization’s security and development culture. Security Clearance : This role requires eligibility for U.S. security clearance based on current or future interactions with domestic and foreign governments. Responsibilities Design & Build: You'll help to architect, implement, and maintain our core CI/CD pipelines, automation frameworks, and security infrastructure. This includes creating reusable patterns and shared libraries to accelerate development. Consult & Collaborate: You will act as a subject matter expert, consulting with development teams, non-technical business teams and clients to define DevSecOps requirements and evangelize best practices. Operate & Troubleshoot: In cooperation with a team, you will collectively own the operational health of our platforms, ensuring we meet uptime SLAs. This involves proactively identifying and fixing issues, managing incidents, and participating in on-call rotations. Improve & Strategize: You'll continuously assess our tools and processes, design action plans for improvements, and ensure our solutions align with industry standards like SDLC and ITIL. Requirements Cloud & Infrastructure: Extensive hands-on experience designing, building, and securing AWS cloud environments. You have practical knowledge of Linux administration and managing infrastructure as code ( Terraform or OpenTofu ). DevSecOps Expertise: Proven ability to author complex CI/CD pipelines (e.g., YAML) in GitLab or GitHub . You're comfortable automating security scans, managing secrets, and implementing GitOps workflows. Containers and Orchestration: Experience with containerization using Docker and orchestration with Kubernetes (AWS EKS preferred). Cloud Security Tooling: Practical experience with security services like Prisma Cloud , SIEM , Nessus , or CrowdStrike . You're familiar with the principles of API Security , Container Security , and native AWS security tools and policies. Code & Automation: You can read and perform basic code reviews for languages like Python , Golang , or JavaScript/TypeScript to assist with application security management. Compliance & Frameworks: Strong understanding of information security frameworks, and specific knowledge of FedRAMP certification and audit processes. Professional Skills: A creative and proactive approach to problem-solving. You have excellent analytical skills and can clearly communicate complex technical information to both technical and non-technical audiences. Education and Experience: Bachelor’s Degree in Computer Science, Cybersecurity, or a related field. Degree requirements may be waived for equivalent professional experience. This is not an entry level position. Nice-to-haves Active security clearance (preferably TS/SCI) Advanced industry certifications, such as: AWS Certified Solutions Architect (Associate or Professional) High-level security certifications like CISSP or CISM Practitioner-level SANS/GIAC certifications (e.g., GCIH, GCSA, GPCS) Benefits Comprehensive benefits package, including health insurance, dental insurance, and vision insurance, and access to a 401k Flexible working from home arrangements Opportunities for growth and professional development Access to cutting-edge technology and resources for research and development Compensation (commensurate with experience): $110,000 - $125,000 (base salary) + bonus + equity Lazarus AI is an equal opportunity employer. We are committed to equal employment opportunity and nondiscrimination for all employees and qualified applicants without regard to a person's race, color, gender, age, religion, national origin, ancestry, disability, veteran status, genetic information, sexual orientation or any characteristic protected under applicable law. We do not tolerate discrimination or harassment of any kind. This applies to every aspect of employment at Lazarus, including, but not limited to, employment, training, promotion, demotion, transfer, leaves of absence and termination.",Full Time
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
